    url_id     |                                                                        link                                                                        |        last_crawled        | data_publicacao | preco_atual |             freguesia              |   tipologia    | area_bruta_m2 | area_util_m2 | area_terreno_m2 | ano_construcao | num_quartos | num_wc | estacionamento | elevador | certificado_energetico |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       descricao_bruta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Cafés e Restaurantes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Comércio Local                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Bancos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Jardins                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Ginásios Escolas
 120121125-506 | https://remax.pt/pt/imoveis/venda-quinta-t6-evora-nossa-senhora-de-machede/120121125-506                                                           | 2025-11-20 11:44:07.922702 | 2025-11-20      |      997500 | Nossa Senhora de Machede           | Quinta T6      |           307 |          307 |           32400 |           2006 |           6 |      7 | Não            | Não      |                        | 🌿  Quinta Única – Um Refúgio Alentejano de Charme e Tradição em Évora.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Descubra a serenidade e o encanto rural do Alentejo nesta magnífica propriedade mista, situada na freguesia de  Nossa Senhora de Machede , concelho e distrito de  Évora .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Com uma área total de  3,24 hectares , esta quinta combina o melhor do campo com o conforto da vida moderna, oferecendo amplos espaços agrícolas e duas construções independentes, perfeitas para habitação familiar, turismo rural ou investimento agrícola.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  🏡  A Habitação Principal (Edifício A) Um acolhedor  T4 , onde o espaço e a luz natural são protagonistas. O  salão em open space com cozinha integrada  cria um ambiente moderno e convivial, enquanto a  marquise/jardim de inverno  convida a momentos de tranquilidade com vista sobre a paisagem alentejana.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  🏠  Edifício Secundário (Edifício B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Um  estúdio T2  adicional, ideal para hóspedes ou arrendamento turístico;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Cozinha de matança tradicional , preservando o espírito rural da quinta;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Duas garagens  amplas e um  armazém agrícola  funcional.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  🐑  Infraestruturas Rurais e Sustentabilidade A quinta está totalmente equipada para a criação de animais, com  ovil e manga ,  pateira ,  galinheiros  e  canis , todos com  abastecimento de água contínuo . Dispõe ainda de  furo próprio ,  bombas de água , e uma  lagoa/piscina ecológica  ao fundo da propriedade — o refúgio perfeito para os dias quentes do Alentejo.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +
