                                                                        link                                                                        | area_bruta_m2 | preco_atual 
 https://remax.pt/pt/imoveis/venda-terreno-talcobaca-cela/121261128-34                                                                              |             0 |       55000
 https://remax.pt/pt/imoveis/venda-terreno-tmafra-azueira-e-sobral-da-abelheira/121901124-1494                                                      |             0 |       51000
 https://remax.pt/pt/imoveis/venda-terreno-tpalmela-palmela/123941181-12                                                                            |             0 |       50000
 https://remax.pt/pt/imoveis/venda-terreno-tsantarem-pernes/121291392-68                                                                            |             0 |       49000
 https://remax.pt/pt/imoveis/venda-terreno-taveiro-esgueira/123421214-69                                                                            |             0 |       45000
 https://remax.pt/pt/imoveis/venda-terreno-tchaves-aguas-frias/123691006-661                                                                        |             0 |       45000
 https://remax.pt/pt/imoveis/venda-terreno-taveiro-oliveirinha/124541236-85                                                                         |             0 |       42000
 https://remax.pt/pt/imoveis/venda-terreno-tcoruche-couco/124861004-143                                                                             |             0 |       40000
 https://remax.pt/pt/imoveis/venda-terreno-tvila-verde-vila-verde-e-barbudo/126591011-72                                                            |             0 |       39900
 https://remax.pt/pt/imoveis/venda-terreno-tpenafiel-abragao/122211249-108                                                                          |             0 |       39500
 https://remax.pt/pt/imoveis/venda-terreno-tvieira-do-minho-louredo/126291108-27                                                                    |             0 |       38000
 https://remax.pt/pt/imoveis/venda-terreno-tcarregal-do-sal-beijos/124901058-40                                                                     |             0 |       37990
 https://remax.pt/pt/imoveis/venda-terreno-tviseu-sao-joao-de-lourosa/122031164-29                                                                  |             0 |       37500
 https://remax.pt/pt/imoveis/venda-terreno-tmira-mira/126111032-68                                                                                  |             0 |       35000
 https://remax.pt/pt/imoveis/venda-terreno-tfigueira-da-foz-moinhos-da-gandara/126131017-109                                                        |             0 |       33500
 https://remax.pt/pt/imoveis/venda-terreno-tazambuja-aveiras-de-baixo/124161258-15                                                                  |             0 |       33000
 https://remax.pt/pt/imoveis/venda-terreno-tfigueira-da-foz-moinhos-da-gandara/126131017-111                                                        |             0 |       32900
